Dataset Name,Image Name,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Cell Line],Term Source 2 REF,Term Source 2 Accession,Experimental Condition [Cell Cycle Stage],Experimental Condition [Marker],Comment [Gene Identifier],Comment [Gene Symbol],Comment [Assay Description],Comment [Image Description],Comment [Image File Path],Comment [Image File Type],Channels
C127_H4K5ac,EM16-09-A_C127_S10_1514_H4K5ac-594_Sytox_EdU-ES_01_SIR_EAL_THR.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,C127,,,ES,H4K5ac,ENSMUSG00000096010,Hist4h4,H4K5ac IF image in C127 cells in ES,3D SIM OMX V3 H4K5ac IF image in C127 cells in ES,Miron-C127-EdU/EM16-09-A-EdU,"Raw, reconstructed, aligned","594: IF signal, 488: Sytox green, 405: EdU"
C127_H4K5ac,EM16-09-A_C127_S10_1514_H4K5ac-594_Sytox_EdU-ES_02_SIR_EAL_THR.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,C127,,,ES,H4K5ac,ENSMUSG00000096010,Hist4h4,H4K5ac IF image in C127 cells in ES,3D SIM OMX V3 H4K5ac IF image in C127 cells in ES,Miron-C127-EdU/EM16-09-A-EdU,"Raw, reconstructed, aligned","594: IF signal, 488: Sytox green, 405: EdU"
C127_H4K5ac,EM16-09-A_C127_S10_1514_H4K5ac-594_Sytox_EdU-ES_03_SIR_EAL_THR.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,C127,,,ES,H4K5ac,ENSMUSG00000096010,Hist4h4,H4K5ac IF image in C127 cells in ES,3D SIM OMX V3 H4K5ac IF image in C127 cells in ES,Miron-C127-EdU/EM16-09-A-EdU,"Raw, reconstructed, aligned","594: IF signal, 488: Sytox green, 405: EdU"
C127_H4K5ac,EM16-09-A_C127_S10_1514_H4K5ac-594_Sytox_EdU-ES_04_SIR_EAL_THR.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,C127,,,ES,H4K5ac,ENSMUSG00000096010,Hist4h4,H4K5ac IF image in C127 cells in ES,3D SIM OMX V3 H4K5ac IF image in C127 cells in ES,Miron-C127-EdU/EM16-09-A-EdU,"Raw, reconstructed, aligned","594: IF signal, 488: Sytox green, 405: EdU"
C127_H4K5ac,EM16-09-A_C127_S10_1514_H4K5ac-594_Sytox_EdU-ES_05_SIR_EAL_THR.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,C127,,,ES,H4K5ac,ENSMUSG00000096010,Hist4h4,H4K5ac IF image in C127 cells in ES,3D SIM OMX V3 H4K5ac IF image in C127 cells in ES,Miron-C127-EdU/EM16-09-A-EdU,"Raw, reconstructed, aligned","594: IF signal, 488: Sytox green, 405: EdU"
C127_H4K5ac,EM16-09-A_C127_S10_1514_H4K5ac-594_Sytox_EdU-LS_01_SIR_EAL_THR.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,C127,,,LS,H4K5ac,ENSMUSG00000096010,Hist4h4,H4K5ac IF image in C127 cells in LS,3D SIM OMX V3 H4K5ac IF image in C127 cells in LS,Miron-C127-EdU/EM16-09-A-EdU,"Raw, reconstructed, aligned","594: IF signal, 488: Sytox green, 405: EdU"
C127_H4K5ac,EM16-09-A_C127_S10_1514_H4K5ac-594_Sytox_EdU-LS_02_SIR_EAL_THR.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,C127,,,LS,H4K5ac,ENSMUSG00000096010,Hist4h4,H4K5ac IF image in C127 cells in LS,3D SIM OMX V3 H4K5ac IF image in C127 cells in LS,Miron-C127-EdU/EM16-09-A-EdU,"Raw, reconstructed, aligned","594: IF signal, 488: Sytox green, 405: EdU"
C127_H4K5ac,EM16-09-A_C127_S10_1514_H4K5ac-594_Sytox_EdU-LS_03_SIR_EAL_THR.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,C127,,,LS,H4K5ac,ENSMUSG00000096010,Hist4h4,H4K5ac IF image in C127 cells in LS,3D SIM OMX V3 H4K5ac IF image in C127 cells in LS,Miron-C127-EdU/EM16-09-A-EdU,"Raw, reconstructed, aligned","594: IF signal, 488: Sytox green, 405: EdU"
C127_H4K5ac,EM16-09-A_C127_S10_1514_H4K5ac-594_Sytox_EdU-LS_04_SIR_EAL_THR.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,C127,,,LS,H4K5ac,ENSMUSG00000096010,Hist4h4,H4K5ac IF image in C127 cells in LS,3D SIM OMX V3 H4K5ac IF image in C127 cells in LS,Miron-C127-EdU/EM16-09-A-EdU,"Raw, reconstructed, aligned","594: IF signal, 488: Sytox green, 405: EdU"
C127_H4K5ac,EM16-09-A_C127_S10_1514_H4K5ac-594_Sytox_EdU-LS_05_SIR_EAL_THR.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,C127,,,LS,H4K5ac,ENSMUSG00000096010,Hist4h4,H4K5ac IF image in C127 cells in LS,3D SIM OMX V3 H4K5ac IF image in C127 cells in LS,Miron-C127-EdU/EM16-09-A-EdU,"Raw, reconstructed, aligned","594: IF signal, 488: Sytox green, 405: EdU"
